scenario,method,metric,mean,std,ci95_low,ci95_high,n
variable,ergs_no_guard,mean_stopped_vehicles,235.35666666666665,89.25299441668992,164.46666666666664,302.3327777777778,5
variable,ergs_no_guard,mean_waiting_time_s,44.92890714237192,12.855111066353176,34.33731285470721,54.51821451578415,5
variable,ergs_no_guard,teleports,82.6,44.612778438469846,48.2,117.8,5
variable,ergs_no_guard,throughput_vehicles,2092.8,312.7694038744838,1848.2,2337.4,5
variable,ergs_no_hysteresis,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ergs_no_hysteresis,mean_speed_m_s,5.265046504272782,0.9567054320027255,4.556426525050289,6.032118214937664,5
variable,ergs_no_hysteresis,mean_stopped_vehicles,235.35222222222222,89.25025362207627,164.43555555555554,302.32388888888886,5
variable,ergs_no_hysteresis,mean_waiting_time_s,44.91955721990414,12.85043364467635,34.322172365883596,54.49951467084861,5
variable,ergs_no_hysteresis,teleports,82.6,44.791740310016976,48.4,118.6,5
variable,ergs_no_hysteresis,throughput_vehicles,2090.6,315.3193619174059,1843.8,2337.4,5
variable,ergs_no_trigger,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ergs_no_trigger,mean_speed_m_s,6.3737025219441055,1.313311677833409,5.212324264408251,7.308098358216912,5
variable,ergs_no_trigger,mean_stopped_vehicles,174.94611111111112,97.8560229186258,105.11833333333334,261.5127777777777,5
variable,ergs_no_trigger,mean_waiting_time_s,36.804542132788086,16.335754827041143,24.760259706005563,50.703914342169796,5
variable,ergs_no_trigger,teleports,53.0,33.7564808592365,27.8,80.6,5
variable,ergs_no_trigger,throughput_vehicles,2271.0,308.9676358455688,2005.8,2497.2,5
variable,fixed,emergency_stops,0.0,0.0,0.0,0.0,5
variable,fixed,mean_speed_m_s,6.597537514447119,1.0351146928611847,5.799459431709777,7.3956155971844595,5
variable,fixed,mean_stopped_vehicles,141.3138888888889,65.12364139835458,92.18222222222222,193.50611111111112,5
variable,fixed,mean_waiting_time_s,32.57647887889448,12.521564335652881,23.359429485652917,43.04012065191433,5
variable,fixed,teleports,44.4,30.672463220289302,24.2,69.8,5
variable,fixed,throughput_vehicles,2387.8,260.91320395871116,2160.4,2576.8,5
variable,max_pressure,emergency_stops,0.0,0.0,0.0,0.0,5
variable,max_pressure,mean_speed_m_s,5.917494443767577,1.0242834297124328,5.153491365524542,6.731005813906961,5
variable,max_pressure,mean_stopped_vehicles,202.6238888888889,94.72248280348649,130.46222222222224,274.78555555555556,5
variable,max_pressure,mean_waiting_time_s,41.525912592864486,14.206610174406087,30.5640544463511,52.48777073937788,5
variable,max_pressure,teleports,77.6,49.4550300778394,41.0,117.6,5
variable,max_pressure,throughput_vehicles,2168.8,332.7614761356849,1916.8,2420.8,5
variable,ppo,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ppo,mean_speed_m_s,5.263505692534949,0.9579642017138167,4.5533681060192475,6.030600607644456,5
variable,ppo,mean_stopped_vehicles,235.91388888888886,89.83448963816393,164.45055555555555,303.4472222222222,5
variable,ppo,mean_waiting_time_s,45.05857603249187,13.021951252011439,34.326147340359846,54.77755229602407,5
variable,ppo,teleports,86.2,51.046057634258105,49.2,129.4,5
variable,ppo,throughput_vehicles,2089.0,317.1308878050197,1840.6,2337.4,5
variable,ppo_llm_ungated,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ppo_llm_ungated,mean_speed_m_s,5.60539527323599,1.3007534924860789,4.6318781490898395,6.57465070332169,5
variable,ppo_llm_ungated,mean_stopped_vehicles,226.59499999999997,133.94321885528515,136.48944444444442,336.19,5
variable,ppo_llm_ungated,mean_waiting_time_s,43.759401645170136,16.81217097463052,31.617866398125862,56.178853433142805,5
variable,ppo_llm_ungated,teleports,67.6,40.19079496601181,37.0,98.2,5
variable,ppo_llm_ungated,throughput_vehicles,2126.8,425.8711072613403,1781.0,2415.8,5
