rung,candidate_id,encoder,paired_head,width,depth,dropout,activation,fold,status,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,n_epochs,final_train_loss,corr_mcar,corr_burst,corr_spatial,corr_mnar,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1,m-0afa94f18f3c,tcn,direct,32,2,0.1,gelu,0,complete,0.15450114412648897,-0.004642299141801143,0.9195101173306963,1.0023184619380214,-0.05080027902439688,0.14302996581952998,0.23897631931257868,0.2871028482913971,0.019523009657859802,0.029424482956528664,88.0,7.366014982108027,3,0.0025370761286467314,-0.004426424154935438,-0.005465688239302269,-0.00238511488812998,-0.003594031219468885,0.17043692678059508,0.20394947048567247,0.09986432004900159,0.14226353377087342,0.227089262431744,-0.05080027902439688,0.14302996581952998,0.16893920452375377
R1,m-0afa94f18f3c,tcn,direct,32,2,0.1,gelu,1,complete,0.1228559527949945,-0.003935640626768322,0.9365596869420578,1.0019658879556572,0.07120768081542861,0.10634749168450586,0.18388939722298692,0.2820044457912445,0.02325422875583172,0.03090149536728859,88.0,4.4193249312229455,3,0.002378043078351766,-0.0036973871554533133,-0.0031899874971206277,-0.0029895690273753495,-0.001751909761035897,0.17393317637049932,0.11968766083094262,0.07120768081542861,0.12521497262570036,0.1307045334243796,0.23503061202026077,0.10634749168450586,0.15792453152704267
R1,m-0afa94f18f3c,tcn,direct,32,2,0.1,gelu,2,complete,0.09229117618088489,-0.02908250331452944,0.9527375419385525,1.0144370376295067,0.013150570080473822,0.07655410750900826,0.16712594034445383,0.2592777609825134,0.020336156710982323,0.02693592756986618,88.0,10.612475068774074,3,0.002374790725298226,-0.028073425104704564,-0.02931407713679257,-0.027935138891935107,-0.028729819275303825,0.04851826378068269,0.1611439718612131,0.1474221643810817,0.13513431781739726,0.013150570080473822,0.019233252955551783,0.07655410750900826,0.11663821568443389
R1,m-0afa94f18f3c,tcn,direct,32,2,0.1,gelu,3,complete,0.08548132589966395,-0.026939399712233802,0.9563046973116551,1.0133801851784126,-0.004641142970518652,0.0602651994992478,0.15273857711959415,0.33043554425239563,0.021878886967897415,0.028138287365436554,88.0,9.969845053274184,3,0.002367656328715384,-0.027775388402053736,-0.02669814822366212,-0.0259958129716773,-0.027814139087187995,0.12179022569411702,0.12267588953022579,0.09724285673721866,0.0818802905951842,0.0408710657665432,-0.004641142970518652,0.0602651994992478,0.12822571408153827
R1,m-0afa94f18f3c,tcn,direct,32,2,0.1,gelu,4,complete,0.09020202384874831,-0.0016099997064633609,0.9538333062706772,1.0008046761014175,0.044904600754179125,0.061451396029334804,0.16367201898007555,0.25632011890411377,0.022632986307144165,0.027321292087435722,88.0,10.895070014521478,3,0.0024062269076239318,-0.002911738538214914,-0.0015493036228055868,-0.0020144698160933228,-0.0033081942601447256,0.11225556389531799,0.044904600754179125,0.0682441053646069,0.15018788033275665,0.09153439964583676,0.046284276771398014,0.061451396029334804,0.13850363985415748
R1,m-167b9a8f0975,gru,shared_branch,96,1,0.0,silu,0,complete,0.17214176667141323,-0.007614381309689167,0.909867151472448,1.0037999707659335,-0.2305215282406856,0.14430423556413763,0.5102649707611651,0.10641501098871231,0.0,0.0,90.0,8.165685017593205,3,0.0024974613916128874,-0.008188312879517934,-0.0176798265942264,-0.01074113276857025,-0.011523973294528256,0.21267154842350366,0.26019637732497203,0.06715891672921825,0.1798942158523834,0.26721056629439854,-0.2305215282406856,0.14430423556413763,0.20717913987602687
R1,m-167b9a8f0975,gru,shared_branch,96,1,0.0,silu,1,complete,0.14107136480101334,0.017243157771538065,0.9267840283469426,0.9913409313795442,0.09354646730357263,0.12385455532063339,0.41243189650862266,0.10730069130659103,0.0,0.0,90.0,8.973620063625276,3,0.002315255638677627,0.016358681924220186,0.016046378402098882,0.0176553174954851,0.014913103326521737,0.15694768146945015,0.14005101378997142,0.09354646730357263,0.1500774371152528,0.17198033137721458,0.20762065540073515,0.12385455532063339,0.17764467316309773
R1,m-167b9a8f0975,gru,shared_branch,96,1,0.0,silu,2,complete,0.11648042017354832,0.0015837031770480348,0.9399572223385763,0.9992078346485039,-0.05473585363463296,0.08089421340312197,0.3262141023132967,0.09588953107595444,0.0,0.0,90.0,9.035899932496246,3,0.0023468488943763077,-0.0004928143796383289,-0.004941057814353833,0.0010292632649370193,-0.00037585774928783344,0.07665536737976686,0.24761356383358613,0.16227211928620222,0.16236795720350794,0.00555121982325868,-0.05473585363463296,0.08089421340312197,0.171536339422944
R1,m-167b9a8f0975,gru,shared_branch,96,1,0.0,silu,3,complete,0.12430901767614855,-0.01607366950648781,0.9357836193927801,1.008004796370775,-0.05246310819209543,0.06658111769694586,0.3520514737421281,0.09621766209602356,0.0,0.0,90.0,7.552484935149549,3,0.0023078459198586643,-0.015646860635334603,-0.013555863339691943,-0.01365608651507677,-0.016736564891623118,0.15996492318789612,0.18584498026132634,0.13720303513211562,0.1418682212807285,0.07436742662964546,-0.05246310819209543,0.06658111769694586,0.22216479958540747
R1,m-167b9a8f0975,gru,shared_branch,96,1,0.0,silu,4,complete,0.09246627739083035,0.004414828040758656,0.952645643777984,0.9977901442483992,-0.09418368639593844,0.053867648795795864,0.38336737621049255,0.09553929418325424,0.0,0.0,90.0,10.87594995042309,3,0.002370714966673404,0.0069488979422415165,0.01255818653632601,0.008561011664995788,0.005427149559382505,0.16877465798416913,0.03056691050291116,0.03057303990083038,0.25079712890583805,0.0322159903169309,-0.09418368639593844,0.053867648795795864,0.15731272695162446
