block,stratifier,scheme,stratum,rows,clusters,measure_median,incumbent_cost_median,gain_h4_mean,numerator_pp,numerator_lo,numerator_hi,denominator_pp,denominator_lo,denominator_hi,factor,factor_lo,factor_hi,den_sign_flip_rate,factor_fieller_kind,factor_fieller_lo,factor_fieller_hi
sealed,policy_disagreement,within_network_tercile,T2,600,276,0.12287372723221779,1713.305475272853,-63.53916666666667,16.54362977816335,11.421733126514278,22.29802545169831,-1.0451559539434108,-3.370436159201607,1.4320425922434343,-15.828862396796998,-120.27973182803603,130.20974382840345,0.814,unbounded,-400.0,400.0
sealed,policy_disagreement,within_network_tercile,T3,600,276,0.3491884171962738,1778.0007523199793,-3.1591666666666667,11.130500700297386,5.11905734858371,17.133729732702566,1.8268274218521952,-0.5284418010434161,4.602276902845704,6.092803604301234,-47.01010570562065,68.70046821784037,0.0655,unbounded,-400.0,400.0
sealed,policy_disagreement,global_tercile,T1,600,225,0.02018580585718155,7451.5,-142.995,19.546470451793464,15.283828362655461,23.78930931951371,-0.5273352612209403,-2.1796954294767206,1.3769292495211203,-37.06649619169688,-269.18017613673777,256.92060486267485,0.727,unbounded,-400.0,400.0
sealed,policy_disagreement,global_tercile,T2,600,268,0.11489757150411606,1453.5,-42.0375,12.850976980476004,7.385072377088046,17.786388665477705,0.48723921481619303,-1.96059152390091,3.0149204307500503,26.375087615482528,-143.8633134194092,183.89447275575844,0.3405,unbounded,-400.0,400.0
sealed,policy_disagreement,global_tercile,T3,600,242,0.35352037847042084,1403.5,11.8425,12.439393847378577,4.840659491192052,20.942077292122825,1.9188075757832435,-1.0059952635611844,5.616299836873035,6.4828771807933405,-56.62494133888679,66.72456527094074,0.1065,unbounded,-400.0,400.0
sealed,severity,within_network_tercile,T1,600,300,0.0,1494.0,-59.6525,22.556605398636965,16.66437697468835,27.720103008018555,0.5089534111970773,-1.9903870439722435,3.266366582164256,44.31958780978203,-232.08994341084585,337.3028389338919,0.36,unbounded,-400.0,400.0
sealed,severity,within_network_tercile,T2,600,300,0.3,1659.3653860624863,-47.3925,18.727643583743138,12.938031899695487,24.29191803130234,-0.5042843492525595,-2.6709347797213487,1.8659621231849044,-37.13707080440011,-237.84198532695302,198.98584928579268,0.6775,unbounded,-400.0,400.0
sealed,severity,within_network_tercile,T3,600,300,0.8,2329.0,-66.145,10.490542135343283,6.291977680128732,15.259693573257405,0.6970902932455947,-1.351888801521488,2.7403941124293856,15.049043484022977,-109.77357318604295,133.50073779503782,0.24,unbounded,-400.0,400.0
sealed,severity,global_tercile,T1,600,300,0.0,1283.0,-50.575833333333335,24.114867005120256,17.679508309380637,30.062340448423143,-1.2046205522014408,-4.137291116692052,2.3212027656915257,-20.018641522469792,-148.52132163299905,159.69238905858754,0.763,unbounded,-400.0,400.0
sealed,severity,global_tercile,T2,600,300,0.3,2101.337770352056,-57.520833333333336,17.811520758011625,12.398773693614967,22.79746984959916,0.4633989604182265,-1.7228929678918943,2.8467418060193914,38.436686914308964,-278.14809890131903,231.98964876342708,0.3605,unbounded,-400.0,400.0
sealed,severity,global_tercile,T3,600,300,0.8,2336.75,-65.09333333333333,10.577295549696785,6.360148921523706,15.326871504746173,0.7618894329605608,-1.3242826539880335,2.724460363554035,13.882979723967795,-93.49398716124114,110.02568398180429,0.226,unbounded,-400.0,400.0
sealed,baseline_cost_h4,within_network_tercile,T1,600,265,1103.75,1103.75,-60.83166666666666,23.00560446228268,16.896825212355225,29.278658609052254,1.239653491595305,-0.4724424921982017,2.9586455108223495,18.55809273983237,-136.93665103949175,232.63841903113723,0.075,unbounded,-400.0,400.0
sealed,baseline_cost_h4,within_network_tercile,T2,600,268,1437.5,1437.5,-56.69833333333333,17.836886058678413,12.592348747344605,23.17722083044707,-0.16148203813546314,-2.3109248262115365,2.288996722390076,-110.45739987326336,-210.93473524111477,238.76171428111502,0.576,unbounded,-400.0,400.0
sealed,baseline_cost_h4,within_network_tercile,T3,600,282,2957.75,2957.75,-55.66,14.010795192281789,9.338189300826317,18.56966358752405,0.10142684334685237,-1.7512816076190312,2.0853577005600337,138.13695398533363,-232.45736932767545,230.46830399723603,0.457,unbounded,-400.0,400.0
sealed,baseline_cost_h4,global_tercile,T1,600,194,906.0,906.0,-32.92333333333333,29.21659067439585,21.63485172562033,36.28823793603013,0.3256569149407307,-2.641549168109424,3.200458152797877,89.71586149095972,-225.79921829053063,264.3524650107366,0.398,unbounded,-400.0,400.0
sealed,baseline_cost_h4,global_tercile,T2,600,211,1852.0,1852.0,-20.326666666666668,19.279310482680433,13.571713721065374,24.71620301214749,-0.17953256594169797,-3.3699870868446307,3.293335297776355,-107.38614680604111,-166.06698116279998,197.52560456775984,0.547,unbounded,-400.0,400.0
sealed,baseline_cost_h4,global_tercile,T3,600,121,9769.25,9769.25,-119.94,13.781032624806478,9.688609408295182,17.738896243980186,0.3038490252067372,-1.1150329728373516,1.703894202289237,45.354868640536004,-313.3628150661915,235.79850771546995,0.353,unbounded,-400.0,400.0
